----------------------------------------------------------------------
Process Automation Log
----------------------------------------------------------------------
CONTENT OF LOG FILE
CONTENT OF LOG FILEThu Jun  6 10:13:06 2024
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'IntelConnectivityNetworkService.exe', 'pid': 7224, 'username': None}
{'name': 'chrome.exe', 'pid': 7344, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'cmd.exe', 'pid': 7768, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 8000, 'username': None}
{'name': 'svchost.exe', 'pid': 8092, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'dllhost.exe', 'pid': 8208, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 8268, 'username': None}
{'name': 'svchost.exe', 'pid': 8316, 'username': None}
{'name': 'chrome.exe', 'pid': 8508, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RuntimeBroker.exe', 'pid': 8844, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'ShellExperienceHost.exe', 'pid': 9088, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 9168, 'username': None}
{'name': 'conhost.exe', 'pid': 9380, 'username': None}
{'name': 'svchost.exe', 'pid': 9504, 'username': None}
{'name': 'IntelConnectService.exe', 'pid': 9540, 'username': None}
{'name': 'cmd.exe', 'pid': 9552, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'AggregatorHost.exe', 'pid': 9600, 'username': None}
{'name': 'svchost.exe', 'pid': 10172, 'username': None}
{'name': 'IDBWMService.exe', 'pid': 10180, 'username': None}
{'name': 'svchost.exe', 'pid': 10252, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'HP.myHP.exe', 'pid': 10296, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'SearchProtocolHost.exe', 'pid': 10368, 'username': None}
{'name': 'conhost.exe', 'pid': 10492, 'username': None}
{'name': 'svchost.exe', 'pid': 10500, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'IntelConnect.exe', 'pid': 10552, 'username': None}
{'name': 'dwm.exe', 'pid': 10680, 'username': None}
{'name': 'svchost.exe', 'pid': 10784, 'username': None}
{'name': 'TabTip.exe', 'pid': 10868, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'ctfmon.exe', 'pid': 10944, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 11192, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'SearchIndexer.exe', 'pid': 11220, 'username': None}
{'name': 'svchost.exe', 'pid': 11276, 'username': None}
{'name': 'SystemSettingsBroker.exe', 'pid': 11296, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 11564, 'username': None}
{'name': 'ONENOTEM.EXE', 'pid': 12132, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'WhatsApp.exe', 'pid': 12184, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'csrss.exe', 'pid': 12208, 'username': None}
{'name': 'svchost.exe', 'pid': 12316, 'username': None}
{'name': 'svchost.exe', 'pid': 12420, 'username': None}
{'name': 'MoUsoCoreWorker.exe', 'pid': 12504, 'username': None}
{'name': 'Code.exe', 'pid': 12564, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 12588, 'username': None}
{'name': 'msedge.exe', 'pid': 12624, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RtkAudUService64.exe', 'pid': 12652, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'msedge.exe', 'pid': 12864, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RuntimeBroker.exe', 'pid': 12888, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RuntimeBroker.exe', 'pid': 12992, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'msedge.exe', 'pid': 13032, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'mc-fw-host.exe', 'pid': 13696, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 13824, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'dllhost.exe', 'pid': 14136, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'smartscreen.exe', 'pid': 14276, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 14560, 'username': None}
{'name': 'conhost.exe', 'pid': 14572, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 14864, 'username': None}
{'name': 'SecurityHealthService.exe', 'pid': 14880, 'username': None}
{'name': 'WidgetService.exe', 'pid': 15048, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'CodeSetup-stable-89de5a8d4d6205e5b11647eb6a74844ca23d2573.exe', 'pid': 15508, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'cmd.exe', 'pid': 15624, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'Code.exe', 'pid': 15864, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'HPSystemEventUtilityHost.exe', 'pid': 15996, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'explorer.exe', 'pid': 16004, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'audiodg.exe', 'pid': 16008, 'username': None}
{'name': 'svchost.exe', 'pid': 16028, 'username': None}
{'name': 'svchost.exe', 'pid': 16116, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'taskhostw.exe', 'pid': 16484, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'chrome.exe', 'pid': 16516, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'Code.exe', 'pid': 17540, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'dllhost.exe', 'pid': 17696, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'sihost.exe', 'pid': 17796, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'LocationNotificationWindows.exe', 'pid': 17916, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'chrome.exe', 'pid': 17968, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'msedge.exe', 'pid': 18220, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'mc-neo-host.exe', 'pid': 18252, 'username': None}
{'name': 'msedge.exe', 'pid': 18272, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'LockApp.exe', 'pid': 18420, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'Code.exe', 'pid': 18444, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'conhost.exe', 'pid': 18556, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 18748, 'username': None}
{'name': 'fontdrvhost.exe', 'pid': 19040, 'username': None}
{'name': 'chrome.exe', 'pid': 19092, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'msedge.exe', 'pid': 19116, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'conhost.exe', 'pid': 19844, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'WmiPrvSE.exe', 'pid': 19952, 'username': None}
{'name': 'PhoneExperienceHost.exe', 'pid': 20272, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
